 Produção Ambulatorial do SUS - Brasil - por local de atendimento
Qtd.aprovada por Ano/mês atendimento e Grupo procedimento
Procedimento: 0301130051 ACOMPANHAMENTO MULTIPROFISSIONAL EM DRC ESTAGIO 04 PRE DIALISE, 0301130060 ACOMPANHAMENTO MULTIPROFISSIONAL EM DRC ESTAGIO 05 PRE DIALISE, 0305010018 DIALISE PERITONEAL INTERMITENTE DPI (1 SESSAO POR SEMANA -EXCEPCIONALIDADE), 0305010026 DIALISE PERITONEAL INTERMITENTE DPI (MAXIMO 2 SESSOES POR SEMANA), 0305010034 DIALISE PERITONEAL P/ PACIENTES RENAIS AGUDOS, 0305010042 HEMODIALISE CONTINUA, 0305010050 HEMODIALISE I (MAXIMO 1 SESSAO POR SEMANA - EXCEPCIONALIDADE), 0305010069 HEMODIALISE I (MAXIMO 3 SESSOES POR SEMANA), 0305010077 HEMODIALISE I EM PORTADOR DE HIV (EXCEPCIONALIDADE - MAXIMO 1 SESSAO POR SEMANA), 0305010085 HEMODIALISE I EM PORTADOR DE HIV (MAXIMO 3 SESSOES POR SEMANA), 0305010093 HEMODIALISE (MAXIMO 1 SESSAO POR SEMANA - EXCEPCIONALIDADE), 0305010107 HEMODIALISE (MAXIMO 3 SESSOES POR SEMANA), 0305010115 HEMODIALISE EM PACIENTE COM SOROLOGIA POSITIVA PARA HIV E/OU HEPATITE B E/OU HEPATITE C (MAXIMO 3 S, 0305010123 HEMODIALISE EM PACIENTE COM SOROLOGIA POSITIVA PARA HIV E/OU HEPATITE B E/OU HEPATITE C (EXCEPCIONAL, 0305010131 HEMODIALISE P/ PACIENTES RENAIS AGUDOS / CRONICOS AGUDIZADOS S/ TRATATAMENTO DIALITICO INICIADO, 0305010182 TREINAMENTO DE PACIENTE SUBMETIDO A DIALISE PERITONEAL - DPAC-DPA (9 DIAS), 0305010204 HEMODIALISE PEDIATRICA (MAXIMO 04 SESSOES POR SEMANA), 0305010220 COMPLEMENTACAO DE VALOR DE SESSAO DE HEMODIALISE EM PACIENTE COM SUSPEICAO OU CONFIRMACAO DE, 0405050054 CICLODIALISE, 0418010030 CONFECCAO DE FISTULA ARTERIO-VENOSA P/ HEMODIALISE, 0418010048 IMPLANTE DE CATETER DE LONGA PERMANENCIA P/ HEMODIALISE, 0418010064 IMPLANTE DE CATETER DUPLO LUMEN P/HEMODIALISE, 0702100013 CATETER DE LONGA PERMANENCIA P/ HEMODIALISE, 0702100021 CATETER P/ SUBCLAVIA DUPLO LUMEN P/ HEMODIALISE
Período:Jan/2015-Abr/2026
"Ano/mês atendimento";"03 Procedimentos clinicos";"04 Procedimentos cirurgicos";"07 Orteses, proteses e materiais especiais";"Total"
"2014";10047;492;238;10777
"..Outubro/2014";570;16;6;592
"..Novembro/2014";1680;72;34;1786
"..Dezembro/2014";7797;404;198;8399
"2015";13539947;103330;71471;13714748
"..Janeiro/2015";1134908;8646;6105;1149659
"..Fevereiro/2015";1030732;7945;5458;1044135
"..Março/2015";1117519;8612;5843;1131974
"..Abril/2015";1117020;8413;5859;1131292
"..Maio/2015";1122364;8549;5923;1136836
"..Junho/2015";1123868;8596;5895;1138359
"..Julho/2015";1167544;8768;5945;1182257
"..Agosto/2015";1131144;8903;5979;1146026
"..Setembro/2015";1134877;9087;6276;1150240
"..Outubro/2015";1178176;8867;6193;1193236
"..Novembro/2015";1100576;8497;5875;1114948
"..Dezembro/2015";1181219;8447;6120;1195786
"2016";13894641;104757;73233;14072631
"..Janeiro/2016";1138709;8286;5910;1152905
"..Fevereiro/2016";1104848;8672;6130;1119650
"..Março/2016";1183336;9169;6425;1198930
"..Abril/2016";1145851;8805;6234;1160890
"..Maio/2016";1148008;8912;6135;1163055
"..Junho/2016";1145144;8816;6028;1159988
"..Julho/2016";1152037;8787;6268;1167092
"..Agosto/2016";1199239;8823;6175;1214237
"..Setembro/2016";1156526;8735;6022;1171283
"..Outubro/2016";1158455;8493;5855;1172803
"..Novembro/2016";1161145;8641;5967;1175753
"..Dezembro/2016";1201343;8618;6084;1216045
"2017";14276719;108190;75410;14460319
"..Janeiro/2017";1166729;8826;6231;1181786
"..Fevereiro/2017";1084264;8179;5646;1098089
"..Março/2017";1220641;9399;6447;1236487
"..Abril/2017";1134012;8356;5934;1148302
"..Maio/2017";1226857;9253;6483;1242593
"..Junho/2017";1183071;9230;6435;1198736
"..Julho/2017";1188187;8848;6333;1203368
"..Agosto/2017";1234925;9675;6608;1251208
"..Setembro/2017";1197224;9059;6148;1212431
"..Outubro/2017";1205455;9544;6642;1221641
"..Novembro/2017";1205915;9065;6318;1221298
"..Dezembro/2017";1229439;8756;6185;1244380
"2018";14893560;113570;79212;15086342
"..Janeiro/2018";1237726;9507;6741;1253974
"..Fevereiro/2018";1123838;8713;6179;1138730
"..Março/2018";1260547;9804;6750;1277101
"..Abril/2018";1180470;9318;6510;1196298
"..Maio/2018";1268387;9982;6954;1285323
"..Junho/2018";1233193;9355;6542;1249090
"..Julho/2018";1235917;9412;6511;1251840
"..Agosto/2018";1288914;10104;6941;1305959
"..Setembro/2018";1205715;8994;6158;1220867
"..Outubro/2018";1304007;9844;6741;1320592
"..Novembro/2018";1264277;9440;6487;1280204
"..Dezembro/2018";1290569;9097;6698;1306364
"2019";15595028;120040;83894;15798962
"..Janeiro/2019";1294197;10032;7243;1311472
"..Fevereiro/2019";1179594;9722;6859;1196175
"..Março/2019";1278040;9943;7060;1295043
"..Abril/2019";1282531;9922;6874;1299327
"..Maio/2019";1332072;10473;7239;1349784
"..Junho/2019";1240035;9567;6703;1256305
"..Julho/2019";1341067;10121;6987;1358175
"..Agosto/2019";1347382;10383;7034;1364799
"..Setembro/2019";1263014;9632;6639;1279285
"..Outubro/2019";1361668;10601;7423;1379692
"..Novembro/2019";1318849;10008;6869;1335726
"..Dezembro/2019";1356579;9636;6964;1373179
"2020";16227269;121672;87368;16436309
"..Janeiro/2020";1363963;10719;7735;1382417
"..Fevereiro/2020";1286958;10164;7244;1304366
"..Março/2020";1341445;10040;7246;1358731
"..Abril/2020";1345244;9555;7065;1361864
"..Maio/2020";1349383;9318;6778;1365479
"..Junho/2020";1350568;9862;7094;1367524
"..Julho/2020";1402564;10217;7209;1419990
"..Agosto/2020";1346682;10167;7176;1364025
"..Setembro/2020";1346769;10680;7498;1364947
"..Outubro/2020";1391671;10805;7722;1410198
"..Novembro/2020";1300575;10109;7114;1317798
"..Dezembro/2020";1401447;10036;7487;1418970
"2021";16212697;124534;90178;16427409
"  Janeiro/2021";1353283;10102;7513;1370898
"  Fevereiro/2021";1251911;9794;6999;1268704
"  Março/2021";1413709;11040;7890;1432639
"  Abril/2021";1348282;10523;7702;1366507
"  Maio/2021";1337991;10220;7293;1355504
"  Junho/2021";1333617;10458;7604;1351679
"  Julho/2021";1380927;10779;7830;1399536
"  Agosto/2021";1338926;10523;7538;1356987
"  Setembro/2021";1340295;10413;7518;1358226
"  Outubro/2021";1350310;10123;7258;1367691
"  Novembro/2021";1354851;10309;7382;1372542
"  Dezembro/2021";1408595;10250;7651;1426496
"2022";16648120;126798;91202;16866120
"..Janeiro/2022";1374329;9932;7375;1391636
"..Fevereiro/2022";1266402;10130;7485;1284017
"..Março/2022";1408030;11388;8154;1427572
"..Abril/2022";1363886;10489;7589;1381964
"..Maio/2022";1372259;11098;7931;1391288
"..Junho/2022";1380189;10472;7715;1398376
"..Julho/2022";1385922;10436;7472;1403830
"..Agosto/2022";1446887;11262;7969;1466118
"..Setembro/2022";1394340;10546;7416;1412302
"..Outubro/2022";1397145;10355;7276;1414776
"..Novembro/2022";1399527;10332;7354;1417213
"..Dezembro/2022";1459204;10358;7466;1477028
"2023";17435709;132838;93668;17662215
"Janeiro/2023";1424947;10724;7689;1443360
"Fevereiro/2023";1319231;10128;7197;1336556
"Março/2023";1488352;11844;8325;1508521
"Abril/2023";1377537;10574;7551;1395662
"Maio/2023";1492666;11700;8209;1512575
"Junho/2023";1439094;10949;7608;1457651
"Julho/2023";1450721;11147;7770;1469638
"Agosto/2023";1511495;11732;8207;1531434
"Setembro/2023";1466713;11022;7706;1485441
"Outubro/2023";1472952;11332;7874;1492158
"Novembro/2023";1475254;11055;7825;1494134
"Dezembro/2023";1516747;10631;7707;1535085
