 Produção Ambulatorial do SUS - Brasil - por local de atendimento
Valor aprovado por Ano/mês atendimento e Grupo procedimento
Procedimento: 0301130051 ACOMPANHAMENTO MULTIPROFISSIONAL EM DRC ESTAGIO 04 PRE DIALISE, 0301130060 ACOMPANHAMENTO MULTIPROFISSIONAL EM DRC ESTAGIO 05 PRE DIALISE, 0305010018 DIALISE PERITONEAL INTERMITENTE DPI (1 SESSAO POR SEMANA -EXCEPCIONALIDADE), 0305010026 DIALISE PERITONEAL INTERMITENTE DPI (MAXIMO 2 SESSOES POR SEMANA), 0305010034 DIALISE PERITONEAL P/ PACIENTES RENAIS AGUDOS, 0305010042 HEMODIALISE CONTINUA, 0305010050 HEMODIALISE I (MAXIMO 1 SESSAO POR SEMANA - EXCEPCIONALIDADE), 0305010069 HEMODIALISE I (MAXIMO 3 SESSOES POR SEMANA), 0305010077 HEMODIALISE I EM PORTADOR DE HIV (EXCEPCIONALIDADE - MAXIMO 1 SESSAO POR SEMANA), 0305010085 HEMODIALISE I EM PORTADOR DE HIV (MAXIMO 3 SESSOES POR SEMANA), 0305010093 HEMODIALISE (MAXIMO 1 SESSAO POR SEMANA - EXCEPCIONALIDADE), 0305010107 HEMODIALISE (MAXIMO 3 SESSOES POR SEMANA), 0305010115 HEMODIALISE EM PACIENTE COM SOROLOGIA POSITIVA PARA HIV E/OU HEPATITE B E/OU HEPATITE C (MAXIMO 3 S, 0305010123 HEMODIALISE EM PACIENTE COM SOROLOGIA POSITIVA PARA HIV E/OU HEPATITE B E/OU HEPATITE C (EXCEPCIONAL, 0305010131 HEMODIALISE P/ PACIENTES RENAIS AGUDOS / CRONICOS AGUDIZADOS S/ TRATATAMENTO DIALITICO INICIADO, 0305010182 TREINAMENTO DE PACIENTE SUBMETIDO A DIALISE PERITONEAL - DPAC-DPA (9 DIAS), 0305010204 HEMODIALISE PEDIATRICA (MAXIMO 04 SESSOES POR SEMANA), 0305010220 COMPLEMENTACAO DE VALOR DE SESSAO DE HEMODIALISE EM PACIENTE COM SUSPEICAO OU CONFIRMACAO DE, 0405050054 CICLODIALISE, 0418010030 CONFECCAO DE FISTULA ARTERIO-VENOSA P/ HEMODIALISE, 0418010048 IMPLANTE DE CATETER DE LONGA PERMANENCIA P/ HEMODIALISE, 0418010064 IMPLANTE DE CATETER DUPLO LUMEN P/HEMODIALISE, 0702100013 CATETER DE LONGA PERMANENCIA P/ HEMODIALISE, 0702100021 CATETER P/ SUBCLAVIA DUPLO LUMEN P/ HEMODIALISE
Período:Jan/2015-Abr/2026
"Ano/mês atendimento";"03 Procedimentos clinicos";"04 Procedimentos cirurgicos";"07 Orteses, proteses e materiais especiais";"Total"
"2014";1896733,32;188066,75;32533,66;2117333,73
"..Outubro/2014";132720,01;6863,24;1223,72;140806,97
"..Novembro/2014";330877,36;26274,30;3872,16;361023,82
"..Dezembro/2014";1433135,95;154929,21;27437,78;1615502,94
"2015";2466794045,76;27990181,58;8524065,78;2503308293,12
"..Janeiro/2015";204236863,31;2263778,52;711467,86;207212109,69
"..Fevereiro/2015";185496815,69;2166098,58;654117,68;188317031,95
"..Março/2015";201132083,11;2405827,45;719973,12;204257883,68
"..Abril/2015";201079958,84;2256967,69;695119,32;204032045,85
"..Maio/2015";202127633,12;2328106,75;723066,02;205178805,89
"..Junho/2015";205764197,64;2374303,36;700791,32;208839292,32
"..Julho/2015";214275043,87;2426464,18;693589,82;217395097,87
"..Agosto/2015";207741397,22;2486536,55;720428,88;210948362,65
"..Setembro/2015";208504739,91;2466479,55;732146,16;211703365,62
"..Outubro/2015";216645200,83;2354120,65;744727,02;219744048,50
"..Novembro/2015";202512277,97;2311334,97;728309,14;205551922,08
"..Dezembro/2015";217277834,25;2150163,33;700329,44;220128327,02
"2016";2556019252,25;28175497,58;8991028,00;2593185777,83
"..Janeiro/2016";209502264,66;2162805,46;699674,82;212364744,94
"..Fevereiro/2016";203307674,33;2315337,71;767372,26;206390384,30
"..Março/2016";217615371,33;2454038,80;795663,22;220865073,35
"..Abril/2016";210785420,17;2350664,20;793315,98;213929400,35
"..Maio/2016";211188623,84;2425055,85;748487,38;214362167,07
"..Junho/2016";210643812,71;2447861,85;758678,84;213850353,40
"..Julho/2016";211917965,61;2311782,35;770045,44;214999793,40
"..Agosto/2016";220631449,20;2369623,46;768198,56;223769271,22
"..Setembro/2016";212783266,50;2389800,16;745345,30;215918411,96
"..Outubro/2016";213130248,54;2318535,36;697365,76;216146149,66
"..Novembro/2016";213622103,07;2347842,45;714223,22;216684168,74
"..Dezembro/2016";220891052,29;2282149,93;732657,22;223905859,44
"2017";2831046215,43;29174670,12;9404690,26;2869625575,81
"..Janeiro/2017";231335251,96;2321479,53;745517,58;234402249,07
"..Fevereiro/2017";214997998,67;2229961,52;707215,40;217935175,59
"..Março/2017";242036067,01;2604816,68;807109,86;245447993,55
"..Abril/2017";224785103,20;2206376,89;715426,78;227706906,87
"..Maio/2017";243289355,04;2485952,31;818210,40;246593517,75
"..Junho/2017";234598230,87;2515951,13;829717,22;237943899,22
"..Julho/2017";235581960,90;2303668,47;794716,26;238680345,63
"..Agosto/2017";244820315,13;2674493,33;843426,18;248338234,64
"..Setembro/2017";237412296,39;2500622,69;774384,06;240687303,14
"..Outubro/2017";239127214,34;2596398,10;820990,80;242544603,24
