 Produção Ambulatorial do SUS - Brasil - por local de atendimento
Valor aprovado por Município e Ano atendimento
Procedimento: 0301130051 ACOMPANHAMENTO MULTIPROFISSIONAL EM DRC ESTAGIO 04 PRE DIALISE, 0301130060 ACOMPANHAMENTO MULTIPROFISSIONAL EM DRC ESTAGIO 05 PRE DIALISE, 0305010018 DIALISE PERITONEAL INTERMITENTE DPI (1 SESSAO POR SEMANA -EXCEPCIONALIDADE), 0305010026 DIALISE PERITONEAL INTERMITENTE DPI (MAXIMO 2 SESSOES POR SEMANA), 0305010034 DIALISE PERITONEAL P/ PACIENTES RENAIS AGUDOS, 0305010042 HEMODIALISE CONTINUA, 0305010050 HEMODIALISE I (MAXIMO 1 SESSAO POR SEMANA - EXCEPCIONALIDADE), 0305010069 HEMODIALISE I (MAXIMO 3 SESSOES POR SEMANA), 0305010077 HEMODIALISE I EM PORTADOR DE HIV (EXCEPCIONALIDADE - MAXIMO 1 SESSAO POR SEMANA), 0305010085 HEMODIALISE I EM PORTADOR DE HIV (MAXIMO 3 SESSOES POR SEMANA), 0305010093 HEMODIALISE (MAXIMO 1 SESSAO POR SEMANA - EXCEPCIONALIDADE), 0305010107 HEMODIALISE (MAXIMO 3 SESSOES POR SEMANA), 0305010115 HEMODIALISE EM PACIENTE COM SOROLOGIA POSITIVA PARA HIV E/OU HEPATITE B E/OU HEPATITE C (MAXIMO 3 S, 0305010123 HEMODIALISE EM PACIENTE COM SOROLOGIA POSITIVA PARA HIV E/OU HEPATITE B E/OU HEPATITE C (EXCEPCIONAL, 0305010131 HEMODIALISE P/ PACIENTES RENAIS AGUDOS / CRONICOS AGUDIZADOS S/ TRATATAMENTO DIALITICO INICIADO, 0305010182 TREINAMENTO DE PACIENTE SUBMETIDO A DIALISE PERITONEAL - DPAC-DPA (9 DIAS), 0305010204 HEMODIALISE PEDIATRICA (MAXIMO 04 SESSOES POR SEMANA), 0305010220 COMPLEMENTACAO DE VALOR DE SESSAO DE HEMODIALISE EM PACIENTE COM SUSPEICAO OU CONFIRMACAO DE, 0405050054 CICLODIALISE, 0418010030 CONFECCAO DE FISTULA ARTERIO-VENOSA P/ HEMODIALISE, 0418010048 IMPLANTE DE CATETER DE LONGA PERMANENCIA P/ HEMODIALISE, 0418010064 IMPLANTE DE CATETER DUPLO LUMEN P/HEMODIALISE, 0702100013 CATETER DE LONGA PERMANENCIA P/ HEMODIALISE, 0702100021 CATETER P/ SUBCLAVIA DUPLO LUMEN P/ HEMODIALISE
Período:Jan/2015-Abr/2026
"Município";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"2026";"Total"
"110002 ARIQUEMES";-;84402,44;2728316,88;3960780,11;5040037,08;5165306,87;5032372,74;5041078,40;6177838,41;5954406,05;6291266,28;6859223,38;2334260,87;54669289,51
"110004 CACOAL";-;2847044,49;3369161,75;4165311,33;4109588,71;3987743,37;3985688,66;3898381,14;4629733,34;5323857,60;5844957,99;5853214,89;2027886,39;50042569,66
"110012 JI-PARANA";-;3505359,31;4216001,04;5211057,67;5590753,15;5746006,10;5810849,56;4768348,26;5458828,72;5680425,26;6024259,30;6541845,93;2319909,32;60873643,62
"110020 PORTO VELHO";-;6867118,95;7801568,22;9464729,33;10535412,43;10914288,97;10800208,98;10294940,15;11709927,27;12670178,83;14178066,78;14634927,62;4814205,90;124685573,43
"110030 VILHENA";-;2230259,46;2506473,56;3243704,58;3368016,56;3527363,51;3475139,47;3421618,79;3868975,12;992047,79;1330865,73;746216,07;-;28710680,64
"120010 BRASILEIA";-;-;-;-;-;-;-;-;-;463,24;2132121,26;2720649,27;1066366,00;5919599,77
"120020 CRUZEIRO DO SUL";-;-;67496,01;958473,42;936247,27;998204,34;1056234,93;1217713,95;1710386,10;2181763,57;2545533,99;2513379,31;876933,55;15062366,44
"120040 RIO BRANCO";-;6253849,83;7020355,30;8332802,66;8640072,25;9186895,33;10217402,09;9748137,89;10248470,79;10998540,98;13894967,29;15875709,17;5752645,24;116169848,82
"130260 MANAUS";2032,24;19926790,52;19170810,85;20374336,45;20271810,92;23052023,67;31090085,07;29860678,34;36970768,76;39308585,08;42109777,67;41494503,87;13550878,51;337183081,95
"140010 BOA VISTA";-;5112544,97;5678171,93;6992733,16;6811713,24;7157442,68;7312114,58;7109171,29;8450868,21;10031371,66;11108003,61;11437050,82;3756014,42;90957200,57
"150010 ABAETETUBA";-;-;-;-;-;-;-;-;-;-;1580761,15;4010612,81;1427735,62;7019109,58
"150060 ALTAMIRA";-;1963828,04;2341039,37;2772921,32;3174705,55;3203258,95;3322762,41;3049393,98;3481659,15;3694937,46;4149873,12;4038090,01;1384856,16;36577325,52
"150080 ANANINDEUA";-;3424953,58;2671574,30;6517459,13;8979758,48;9477061,12;11907226,64;12191681,06;13822946,24;13144154,28;13835029,36;14594349,28;5394157,78;115960351,25
"150140 BELEM";1970,87;16859967,48;17846762,69;25329557,48;26355599,59;27101675,11;26167882,41;28689290,12;34788255,25;38110021,99;42564587,08;43068373,92;14273515,37;341157459,36
"150170 BRAGANCA";-;1461733,27;1458617,64;1556253,17;1545828,11;1561614,43;1571580,04;1548744,71;1770639,64;1866350,92;2910051,79;3261688,18;1080859,98;21593961,88
