data,valor_aprovado,media_movel_12m,sazonal_ingenuo_12m,tendencia_linear
2022-01-01,302837210.44,268887656.09166664,268914560.51,284094569.0249512
2022-02-01,280312728.99,271714543.5858334,249058519.02,285021922.9060313
2022-03-01,314093080.19,274319061.0833333,279774309.22,285949276.7871114
2022-04-01,304231395.4,277178958.6641666,266885532.52,286876630.6681915
2022-05-01,306243852.81,280291113.9041667,265365838.46,287803984.5492716
2022-06-01,306868827.71,283697615.1,264753799.99,288731338.4303516
2022-07-01,308883599.32,287207200.7433334,275064844.47,289658692.31143177
2022-08-01,323453719.42,290025430.3141667,267213582.87,290586046.1925118
2022-09-01,311819626.42,294712108.36,267703365.7,291513400.0735919
2022-10-01,312427063.88,298388463.42,269694858.86,292440753.954672
2022-11-01,312285235.81,301949480.50500005,270875546.8,293368107.83575207
2022-12-01,324955128.46,305400287.9225,281347114.68,294295461.71683216
2023-01-01,318310548.87,309034289.0708333,302837210.44,295222815.59791225
2023-02-01,294899969.04,310323733.94,280312728.99,296150169.47899234
2023-03-01,333190074.83000004,311539337.2775,314093080.19,297077523.36007243
2023-04-01,308241204.10999995,313130753.4975,304231395.4,298004877.2411525
2023-05-01,334325813.13,313464904.2233333,306243852.81,298932231.12223256
2023-06-01,322098718.82,315805067.5833333,306868827.71,299859585.0033127
2023-07-01,343307909.95,317074225.1758334,308883599.32,300786938.88439274
2023-08-01,357700323.2,319942917.7283334,323453719.42,301714292.7654728
2023-09-01,363197338.78,322796801.37666667,311819626.42,302641646.6465529
2023-10-01,364688761.24,327078277.4066667,312427063.88,303569000.527633
2023-11-01,364691333.78,331433418.8533333,312285235.81,304496354.4087131
2023-12-01,372445413.31,335800593.6841666,324955128.46,305423708.2897932
