data,valor_aprovado,media_movel_12m,sazonal_ingenuo_12m,tendencia_linear
2022-01-01,302837210.44,268887656.09166664,268914560.51,284094569.0249512
2022-02-01,280312728.99,271714543.5858334,249058519.02,285021922.9060313
2022-03-01,314093080.19,274319061.0833333,279774309.22,285949276.7871114
2022-04-01,304231395.4,277178958.6641666,266885532.52,286876630.6681915
2022-05-01,306243852.81,280291113.9041667,265365838.46,287803984.5492716
2022-06-01,306868827.71,283697615.1,264753799.99,288731338.4303516
2022-07-01,308883599.32,287207200.7433334,275064844.47,289658692.31143177
2022-08-01,323453719.42,290025430.3141667,267213582.87,290586046.1925118
2022-09-01,311819626.42,294712108.36,267703365.7,291513400.0735919
2022-10-01,312427063.88,298388463.42,269694858.86,292440753.954672
2022-11-01,312285235.81,301949480.50500005,270875546.8,293368107.83575207
2022-12-01,324955128.46,305400287.9225,281347114.68,294295461.71683216
2023-01-01,318310548.87,309034289.0708333,302837210.44,295222815.59791225
2023-02-01,294899969.04,310323733.94,280312728.99,296150169.47899234
2023-03-01,333190074.83000004,311539337.2775,314093080.19,297077523.36007243
2023-04-01,308241204.10999995,313130753.4975,304231395.4,298004877.2411525
2023-05-01,334325813.13,313464904.2233333,306243852.81,298932231.12223256
2023-06-01,322098718.82,315805067.5833333,306868827.71,299859585.0033127
2023-07-01,343307909.95,317074225.1758334,308883599.32,300786938.88439274
2023-08-01,357700323.2,319942917.7283334,323453719.42,301714292.7654728
2023-09-01,363197338.78,322796801.37666667,311819626.42,302641646.6465529
2023-10-01,364863029.1,327078277.4066667,312427063.88,303569000.527633
2023-11-01,365199231.95,331447941.175,312285235.81,304496354.4087131
2023-12-01,374983123.17,335857440.8533333,324955128.46,305423708.2897932
2024-01-01,375847712.94,340026440.41249996,318310548.87,306351062.1708733
2024-02-01,356304841.58,344821204.085,294899969.04,307278416.0519534
2024-03-01,370113558.41,349938276.7966667,333190074.83000004,308205769.93303347
2024-04-01,373850328.77,353015233.76166666,308241204.10999995,309133123.8141135
2024-05-01,387596104.3,358482660.8166666,334325813.13,310060477.69519365
2024-06-01,360982328.25,362921851.74749994,322098718.82,310987831.5762737
2024-07-01,390560593.67,366162152.5333333,343307909.95,311915185.4573538
2024-08-01,391118763.67,370099876.1766667,357700323.2,312842539.33843386
2024-09-01,366497269.12,372884746.21583337,363197338.78,313769893.21951395
2024-10-01,396093556.14,373159740.41083336,364863029.1,314697247.10059404
2024-11-01,383252079.78,375762284.3308334,365199231.95,315624600.98167413
2024-12-01,390807010.08,377266688.31666666,374983123.17,316551954.8627542
2025-01-01,392330621.24,378585345.55916667,375847712.94,317479308.7438343
2025-02-01,359514022.46,379958921.2508333,356304841.58,318406662.6249144
2025-03-01,389704865.08,380226352.9908333,370113558.41,319334016.50599444
2025-04-01,390023524.08,381858961.87999994,373850328.77,320261370.3870746
2025-05-01,404820750.8,383206728.1558333,387596104.3,321188724.2681546
2025-06-01,377143717.14,384642115.3641667,360982328.25,322116078.1492347
2025-07-01,406090370.51,385988897.7716667,390560593.67,323043432.0303148
2025-08-01,394232835.81,387283045.84166664,391118763.67,323970785.9113949
2025-09-01,395718441.83,387542551.8533334,366497269.12,324898139.792475
2025-10-01,411650546.75,389977649.57916665,396093556.14,325825493.6735551
2025-11-01,382184403.39,391274065.4633333,383252079.78,326752847.55463517
2025-12-01,417980005.06,391185092.43083334,390807010.08,327680201.43571526
2026-01-01,407396857.47,393449508.67916673,392330621.24,328607555.31679535
2026-02-01,369527943.05,394705028.365,359514022.46,329534909.1978754
2026-03-01,412089732.61,395539521.7475,389704865.08,330462263.07895553
2026-04-01,396764540.54,397404927.375,390023524.08,331389616.96003556
