data,valor_aprovado,ridge,regressao_linear,random_forest,gradient_boosting
2022-01-01,302837210.44,279448436.11487025,280960953.6064358,267455806.47542775,271741930.9736813
2022-02-01,280312728.99,282439021.0351194,284562307.0704056,274987385.48457146,284336975.8938127
2022-03-01,314093080.19,283126026.7188912,285431337.38175917,279646858.86892223,290312053.78118443
2022-04-01,304231395.4,286202588.8232378,288776555.22498727,289055284.2847599,299686885.7251128
2022-05-01,306243852.81,288477819.3066654,291129077.2044411,294824511.5296695,303861120.7030459
2022-06-01,306868827.71,290561029.40595454,293121506.3670366,299266946.94569594,302146964.89675945
2022-07-01,308883599.32,292258442.9883163,294634568.87642527,302207212.607098,304842110.9474713
2022-08-01,323453719.42,293710030.7098875,295954369.47289395,304156383.9809419,306317653.5176024
2022-09-01,311819626.42,295731164.7786754,298055322.4490755,307991590.48944736,315589803.77412444
2022-10-01,312427063.88,296676123.59270024,299085455.0799536,309727384.18142855,314717872.2771211
2022-11-01,312285235.81,297538272.37284034,300083841.6283083,310532329.2340915,312361226.0567551
2022-12-01,324955128.46,298704237.2609545,301481175.2719431,311538620.1169259,312348370.94421244
2023-01-01,318310548.87,299394420.7022521,301270767.6764386,311151565.5739675,320085801.6197566
2023-02-01,294899969.04,302048387.2903983,304469944.33510566,314730628.4156401,305146865.981313
2023-03-01,333190074.83000004,302809093.9468457,305475523.08282804,308260345.0389433,310122988.2501429
2023-04-01,308241204.10999995,305965423.28620917,308901213.09080833,315638616.7786784,318942786.28670406
2023-05-01,334325813.13,307508510.383935,310425467.125286,314043470.01070726,312664625.59337574
2023-06-01,322098718.82,310279467.45810217,313142889.2338723,320790611.03967893,327020964.524676
2023-07-01,343307909.95,311861930.3954824,314524594.6172105,322205612.4940371,326218714.9161648
2023-08-01,357700323.2,314178883.6830448,316756756.4281627,327485573.8685391,338397377.1946442
2023-09-01,363197338.78,316792405.5236066,319475053.5252949,334446674.71375906,349737184.1861416
2023-10-01,364863029.1,319052446.54424834,321872687.88017464,342199052.4498444,356374787.98039323
2023-11-01,365199231.95,320914023.75170135,323771625.58116686,349315503.72392917,358345077.5369606
2023-12-01,374983123.17,323211356.7853774,326236110.7888584,354957815.0256277,365675469.84482014
2024-01-01,375847712.94,322966101.22881776,325219815.9509281,359617273.563621,364285437.90425855
2024-02-01,356304841.58,327518514.93003154,330430404.56961364,364082656.10362405,357121353.5449587
2024-03-01,370113558.41,329561897.215111,332590996.23705924,361485586.7053246,367154153.5257236
2024-04-01,373850328.77,332544864.0498087,335731739.7518021,363607123.06365305,357777821.43643266
2024-05-01,387596104.3,335982483.582399,339307371.98849237,366934597.6307672,370279712.4678329
2024-06-01,360982328.25,340006042.9137049,343357749.63423574,372209562.383663,380033596.79591185
2024-07-01,390560593.67,342297486.76281,345488637.5237222,366509859.2738783,372600587.9934036
2024-08-01,391118763.67,345712763.79754364,348880640.63803375,373376670.36887413,385947889.0907315
2024-09-01,366497269.12,348644902.00502414,351913710.60212195,378557747.278028,386758574.10983765
2024-10-01,396093556.14,349769947.46768355,353094758.41536725,375865525.86965024,381638369.0891261
2024-11-01,383252079.78,351951306.54045403,355408622.44958645,382191259.5637569,389761753.4251977
2024-12-01,390807010.08,353725877.6092418,357365299.4369316,383375279.5996439,388845359.4055983
2025-01-01,392330621.24,353980998.9116708,356882800.7724907,384834431.6889834,388113281.0155021
2025-02-01,359514022.46,357417464.9037416,360776993.88967764,387791749.1643878,376956764.6828786
2025-03-01,389704865.08,358458398.74351907,361949699.3012806,380255504.90897363,378196854.02907026
2025-04-01,390023524.08,361329839.38547343,364980759.4066317,383006780.57014924,376853454.0625319
2025-05-01,404820750.8,364447932.53718185,368180488.60427153,386183051.8712122,386789820.46319944
2025-06-01,377143717.14,368148891.77745104,371872728.0289424,391357757.6064819,388979455.3191833
2025-07-01,406090370.51,370207922.9604502,373774264.9864453,388208481.82780397,393167770.34785557
2025-08-01,394232835.81,373201155.6734324,376713172.2051886,391667497.917825,399442160.4145977
2025-09-01,395718441.83,375160710.1797929,378679110.9942658,390337886.8883493,384157844.24370474
2025-10-01,411650546.75,376691787.3286695,380307226.25151867,393345393.19728965,396581693.0669125
2025-11-01,382184403.39,378555240.8755071,382342535.6208636,398004648.8884855,403024355.06058615
2025-12-01,417980005.06,379048649.7341623,382969464.5185923,392834827.15712476,391948349.556281
2026-01-01,407396857.47,379660895.79493606,382815855.48423475,398039078.02915525,405659607.12824285
2026-02-01,369527943.05,382542717.64237064,386105071.6627124,401765402.810503,390338320.0582214
2026-03-01,412089732.61,383326731.45394826,387079744.70453864,390224608.9419069,387599184.4742728
2026-04-01,396764540.54,386360762.7287237,390298329.44897014,398011917.5613527,390969598.82111543
2026-05-01,426565867.1,388871748.6687206,392824937.3340727,401897540.0727628,401032213.63068724
2026-06-01,409258364.78,392551954.7540378,396472658.8582225,408801312.42594904,407267035.27590966
