data,ano,mes,mes_nome,grupo_procedimento,valor_aprovado,qtd_aprovada,custo_medio
2015-01-01,2015,1,Janeiro,03 Procedimentos clinicos,204236863.31,11349080.0,17.99589599421275
2015-01-01,2015,1,Janeiro,04 Procedimentos cirurgicos,2263778.52,86460.0,26.182957668285912
2015-01-01,2015,1,Janeiro,"07 Orteses, proteses e materiais especiais",711467.86,61050.0,11.653855200655201
2015-02-01,2015,2,Fevereiro,03 Procedimentos clinicos,185496815.69,10307320.0,17.996609757919614
2015-02-01,2015,2,Fevereiro,04 Procedimentos cirurgicos,2166098.58,79450.0,27.263669981120202
2015-02-01,2015,2,Fevereiro,"07 Orteses, proteses e materiais especiais",654117.68,54580.0,11.984567240747527
2015-03-01,2015,3,Março,03 Procedimentos clinicos,201132083.11,11175190.0,17.9980906910755
2015-03-01,2015,3,Março,04 Procedimentos cirurgicos,2405827.45,86120.0,27.935757663725038
2015-03-01,2015,3,Março,"07 Orteses, proteses e materiais especiais",719973.12,58430.0,12.32197706657539
2015-04-01,2015,4,Abril,03 Procedimentos clinicos,201079958.84,11170200.0,18.00146450734991
2015-04-01,2015,4,Abril,04 Procedimentos cirurgicos,2256967.69,84130.0,26.827144775941992
2015-04-01,2015,4,Abril,"07 Orteses, proteses e materiais especiais",695119.32,58590.0,11.864129032258063
2015-05-01,2015,5,Maio,03 Procedimentos clinicos,202127633.12,11223640.0,18.00909803949521
2015-05-01,2015,5,Maio,04 Procedimentos cirurgicos,2328106.75,85490.0,27.232503801614225
2015-05-01,2015,5,Maio,"07 Orteses, proteses e materiais especiais",723066.02,59230.0,12.207766672294445
2015-06-01,2015,6,Junho,03 Procedimentos clinicos,205764197.64,11238680.0,18.308573394740307
2015-06-01,2015,6,Junho,04 Procedimentos cirurgicos,2374303.36,85960.0,27.62102559329921
2015-06-01,2015,6,Junho,"07 Orteses, proteses e materiais especiais",700791.32,58950.0,11.88789346904156
2015-07-01,2015,7,Julho,03 Procedimentos clinicos,214275043.87,11675440.0,18.352631153087163
2015-07-01,2015,7,Julho,04 Procedimentos cirurgicos,2426464.18,87680.0,27.674089644160585
2015-07-01,2015,7,Julho,"07 Orteses, proteses e materiais especiais",693589.82,59450.0,11.666775777964675
2015-08-01,2015,8,Agosto,03 Procedimentos clinicos,207741397.22,11311440.0,18.365601304520027
2015-08-01,2015,8,Agosto,04 Procedimentos cirurgicos,2486536.55,89030.0,27.92919858474671
2015-08-01,2015,8,Agosto,"07 Orteses, proteses e materiais especiais",720428.88,59790.0,12.049320622177621
2015-09-01,2015,9,Setembro,03 Procedimentos clinicos,208504739.91,11348770.0,18.372452689586623
2015-09-01,2015,9,Setembro,04 Procedimentos cirurgicos,2466479.55,90870.0,27.142946517002308
2015-09-01,2015,9,Setembro,"07 Orteses, proteses e materiais especiais",732146.16,62760.0,11.66580879541109
2015-10-01,2015,10,Outubro,03 Procedimentos clinicos,216645200.83,11781760.0,18.38818655531941
2015-10-01,2015,10,Outubro,04 Procedimentos cirurgicos,2354120.65,88670.0,26.549234803202886
2015-10-01,2015,10,Outubro,"07 Orteses, proteses e materiais especiais",744727.02,61930.0,12.025303084127241
2015-11-01,2015,11,Novembro,03 Procedimentos clinicos,202512277.97,11005760.0,18.400571879633937
2015-11-01,2015,11,Novembro,04 Procedimentos cirurgicos,2311334.97,84970.0,27.201776744733436
2015-11-01,2015,11,Novembro,"07 Orteses, proteses e materiais especiais",728309.14,58750.0,12.396751319148937
2015-12-01,2015,12,Dezembro,03 Procedimentos clinicos,217277834.25,11812190.0,18.394373460806168
2015-12-01,2015,12,Dezembro,04 Procedimentos cirurgicos,2150163.33,84470.0,25.454757073517225
2015-12-01,2015,12,Dezembro,"07 Orteses, proteses e materiais especiais",700329.44,61200.0,11.443291503267973
2016-01-01,2016,1,Janeiro,03 Procedimentos clinicos,209502264.66,11387090.0,18.398226821777996
2016-01-01,2016,1,Janeiro,04 Procedimentos cirurgicos,2162805.46,82860.0,26.101924450881004
2016-01-01,2016,1,Janeiro,"07 Orteses, proteses e materiais especiais",699674.82,59100.0,11.838829441624364
2016-02-01,2016,2,Fevereiro,03 Procedimentos clinicos,203307674.33,11048480.0,18.40141579022635
2016-02-01,2016,2,Fevereiro,04 Procedimentos cirurgicos,2315337.71,86720.0,26.699004958487084
2016-02-01,2016,2,Fevereiro,"07 Orteses, proteses e materiais especiais",767372.26,61300.0,12.51830766721044
2016-03-01,2016,3,Março,03 Procedimentos clinicos,217615371.33,11833360.0,18.389989937769155
2016-03-01,2016,3,Março,04 Procedimentos cirurgicos,2454038.8,91690.0,26.764519576834985
2016-03-01,2016,3,Março,"07 Orteses, proteses e materiais especiais",795663.22,64250.0,12.383863346303501
2016-04-01,2016,4,Abril,03 Procedimentos clinicos,210785420.17,11458510.0,18.395534861862494
2016-04-01,2016,4,Abril,04 Procedimentos cirurgicos,2350664.2,88050.0,26.69692447473027
2016-04-01,2016,4,Abril,"07 Orteses, proteses e materiais especiais",793315.98,62340.0,12.725633301251202
2016-05-01,2016,5,Maio,03 Procedimentos clinicos,211188623.84,11480080.0,18.3960933930774
2016-05-01,2016,5,Maio,04 Procedimentos cirurgicos,2425055.85,89120.0,27.211129376122084
2016-05-01,2016,5,Maio,"07 Orteses, proteses e materiais especiais",748487.38,61350.0,12.200283292583537
2016-06-01,2016,6,Junho,03 Procedimentos clinicos,210643812.71,11451440.0,18.3945261652683
2016-06-01,2016,6,Junho,04 Procedimentos cirurgicos,2447861.85,88160.0,27.766128062613433
2016-06-01,2016,6,Junho,"07 Orteses, proteses e materiais especiais",758678.84,60280.0,12.58591307232913
2016-07-01,2016,7,Julho,03 Procedimentos clinicos,211917965.61,11520370.0,18.395065923229897
2016-07-01,2016,7,Julho,04 Procedimentos cirurgicos,2311782.35,87870.0,26.30911972231706
2016-07-01,2016,7,Julho,"07 Orteses, proteses e materiais especiais",770045.44,62680.0,12.285345245692405
2016-08-01,2016,8,Agosto,03 Procedimentos clinicos,220631449.2,11992390.0,18.397621258147876
2016-08-01,2016,8,Agosto,04 Procedimentos cirurgicos,2369623.46,88230.0,26.857343987305903
2016-08-01,2016,8,Agosto,"07 Orteses, proteses e materiais especiais",768198.56,61750.0,12.440462510121458
2016-09-01,2016,9,Setembro,03 Procedimentos clinicos,212783266.5,11565260.0,18.398485334527717
2016-09-01,2016,9,Setembro,04 Procedimentos cirurgicos,2389800.16,87350.0,27.358902804808245
2016-09-01,2016,9,Setembro,"07 Orteses, proteses e materiais especiais",745345.3,60220.0,12.377039189637994
2016-10-01,2016,10,Outubro,03 Procedimentos clinicos,213130248.54,11584550.0,18.397801255983183
2016-10-01,2016,10,Outubro,04 Procedimentos cirurgicos,2318535.36,84930.0,27.29936842105263
2016-10-01,2016,10,Outubro,"07 Orteses, proteses e materiais especiais",697365.76,58550.0,11.91060222032451
2016-11-01,2016,11,Novembro,03 Procedimentos clinicos,213622103.07,11611450.0,18.39753890082634
2016-11-01,2016,11,Novembro,04 Procedimentos cirurgicos,2347842.45,86410.0,27.17095764379123
2016-11-01,2016,11,Novembro,"07 Orteses, proteses e materiais especiais",714223.22,59670.0,11.969552874141108
2016-12-01,2016,12,Dezembro,03 Procedimentos clinicos,220891052.29,12013430.0,18.387009562631153
2016-12-01,2016,12,Dezembro,04 Procedimentos cirurgicos,2282149.93,86180.0,26.48120132281272
2016-12-01,2016,12,Dezembro,"07 Orteses, proteses e materiais especiais",732657.22,60840.0,12.042360618014463
2017-01-01,2017,1,Janeiro,03 Procedimentos clinicos,231335251.96,11667290.0,19.82767651785462
2017-01-01,2017,1,Janeiro,04 Procedimentos cirurgicos,2321479.53,88260.0,26.302736573759343
2017-01-01,2017,1,Janeiro,"07 Orteses, proteses e materiais especiais",745517.58,62310.0,11.964653827636013
