data,ano,mes,valor_aprovado,qtd_aprovada,custo_medio
2015-01-01,2015,1,207212109.69,1149659.0,180.23788766060196
2015-02-01,2015,2,188317031.95,1044135.0,180.35697677982253
2015-03-01,2015,3,204257883.68,1131974.0,180.44397104527135
2015-04-01,2015,4,204032045.85,1131292.0,180.35312355253993
2015-05-01,2015,5,205178805.89000002,1136836.0,180.48232628980787
2015-06-01,2015,6,208839292.32,1138359.0,183.45644240525178
2015-07-01,2015,7,217395097.87,1182257.0,183.88142161137554
2015-08-01,2015,8,210948362.65,1146026.0,184.0694387823662
2015-09-01,2015,9,211703365.62,1150240.0,184.0514724057588
2015-10-01,2015,10,219744048.5,1193236.0,184.15807811698608
2015-11-01,2015,11,205551922.08,1114948.0,184.36009758302632
2015-12-01,2015,12,220128327.02,1195786.0,184.08672372815872
2016-01-01,2016,1,212364744.94,1152905.0,184.19969116275843
2016-02-01,2016,2,206390384.3,1119650.0,184.3347334434868
2016-03-01,2016,3,220865073.35000002,1198930.0,184.2184892779395
2016-04-01,2016,4,213929400.35,1160890.0,184.28050922137325
2016-05-01,2016,5,214362167.07,1163055.0,184.30957011491287
2016-06-01,2016,6,213850353.4,1159988.0,184.35566005855233
2016-07-01,2016,7,214999793.4,1167092.0,184.21837644333095
2016-08-01,2016,8,223769271.22,1214237.0,184.28796949854106
2016-09-01,2016,9,215918411.96,1171283.0,184.34350362807282
2016-10-01,2016,10,216146149.66,1172803.0,184.29876940969626
2016-11-01,2016,11,216684168.73999998,1175753.0,184.29395352595313
2016-12-01,2016,12,223905859.44,1216045.0,184.12629420786237
2017-01-01,2017,1,234402249.07000002,1181786.0,198.34576570546616
2017-02-01,2017,2,217935175.58999997,1098089.0,198.4676793866435
2017-03-01,2017,3,245447993.54999998,1236487.0,198.50430578728282
2017-04-01,2017,4,227706906.86999997,1148302.0,198.29879846068366
2017-05-01,2017,5,246593517.75,1242593.0,198.4507539878303
2017-06-01,2017,6,237943899.22,1198736.0,198.49566478357204
2017-07-01,2017,7,238680345.63,1203368.0,198.34360364410554
2017-08-01,2017,8,248338234.64,1251208.0,198.47877782111365
2017-09-01,2017,9,240687303.14,1212431.0,198.51628928986474
