cod_municipio,municipio,uf_ibge,2015,2016,2017,2018,2019,2020,2021,2022,2023,valor_2015_2023,media_pre_pandemia,media_pandemia,media_pos_pandemia,crescimento_pos_vs_pre_pct,participacao_nacional_pct,ranking_valor
355030,SAO PAULO,35,180867255.49,187215012.36,203429366.31,203984564.94,207921445.09,208572716.94,202862718.33,229477261.53,243790094.99,1868120435.98,196683528.83800003,205717717.635,236633678.26,20.3118937605117,6.591345602555558,1
330455,RIO DE JANEIRO,33,86303419.91,86443106.59,90335755.21,89245137.24,88399509.51,88539871.02,84836304.46,94548641.71,103534416.42,812186162.0699999,88145385.692,86688087.74,99041529.065,12.361558449665866,2.865660898896073,2
310620,BELO HORIZONTE,31,63552224.63,66747486.12,69863091.66,68522344.72,70125546.13,71886680.77,70983272.61,78732616.88,85575348.13,645988611.65,67762138.652,71434976.69,82153982.505,21.238768638798298,2.279261075834504,3
261160,RECIFE,26,54130198.56,56604516.43,63078827.84,66913002.74,69170865.75,71092551.68,67978056.61,75993262.55,82567794.12,607529076.2800001,61979482.26400001,69535304.14500001,79280528.33500001,27.91415068184442,2.143563138777039,4
230440,FORTALEZA,23,45155136.62,45719604.15,47693680.03,48218242.14,50198050.69,52356404.72,53702845.04,62105996.55,69152650.56,474302610.50000006,47396942.725999996,53029624.879999995,65629323.555,38.46741958526889,1.6734961867486722,5
292740,SALVADOR,29,45330936.59,45232830.22,47620523.23,46470887.13,46070850.65,45023821.87,43982649.37,49433967.81,53317718.95,422484185.82,46145205.563999996,44503235.62,51375843.38,11.33517069015002,1.4906636781654132,6
520870,GOIANIA,52,41275873.16,40454259.02,42097359.45,41581175.99,42039115.03,40571900.25,37976418.52,41656229.73,45121304.79,372773635.94000006,41489556.53,39274159.385000005,43388767.26,4.577563340853574,1.3152684477287477,7
530010,BRASILIA,53,25649535.16,25196754.25,26731089.94,28807135.54,35617735.27,35954106.06,35465721.61,37540951.84,41769607.8,292732637.46999997,28400450.031999998,35709913.835,39655279.82,39.629054382302776,1.0328573819707585,8
211130,SAO LUIS,21,21472726.71,24882643.03,30311300.82,31227484.67,31736685.65,30527594.6,30689735.32,42631646.15,45910767.52,289390584.46999997,27926168.176,30608664.96,44271206.835,58.52947155509531,1.021065515707328,9
240810,NATAL,24,24872177.78,25115495.24,27963136.59,26868649.82,27461810.03,28415425.55,29052657.39,38135285.79,49659824.85,277544463.04,26456253.892,28734041.47,43897555.32,65.92506066504752,0.9792684886575124,10
431490,PORTO ALEGRE,43,28405897.6,28788970.86,30444671.92,29860570.42,29722614.81,28548913.91,27161743.23,30963469.66,33767391.51,267664243.91999996,29444545.121999998,27855328.57,32365430.585,9.91995444622309,0.944407813941573,11
270430,MACEIO,27,24152057.58,24393352.85,25881092.72,26849118.14,28929164.4,30198138.89,30107364.11,35711819.87,39554961.46,265777070.02,26040957.138,30152751.5,37633390.665,44.51615762649468,0.9377492414280203,12
221100,TERESINA,22,22018676.09,23687739.97,26359320.4,27410497.12,29209941.7,29723850.7,28584731.39,33412437.06,35800289.73,256207484.16,25737235.056,29154291.045,34606363.394999996,34.46029971635347,0.903984583399696,13
150140,BELEM,15,16859967.48,17846762.69,25329557.48,26355599.59,27101675.11,26167882.41,28689290.12,34788255.25,38110021.99,241249012.12000003,22698712.470000003,27428586.265,36449138.620000005,60.578000484271534,0.8512061559477844,14
130260,MANAUS,13,19926790.52,19170810.85,20374336.45,20271810.92,23052023.67,31090085.07,29860678.34,36970768.76,39308585.08,240025889.66000003,20559154.482,30475381.705,38139676.92,85.51189424347261,0.8468905761313906,15
500270,CAMPO GRANDE,50,20995008.69,20823070.61,22817024.11,23396404.21,24325725.41,26239998.22,25721143.83,29410167.26,34492141.87,228220684.20999998,22471446.606,25980571.025,31951154.564999998,42.185570538520054,0.805237914166209,16
350950,CAMPINAS,35,19766798.82,22027434.93,24618243.83,25688034.71,24806023.73,24535394.62,24349882.87,25783332.7,29524484.99,221099631.2,23381307.204,24442638.745,27653908.845,18.273578990780525,0.7801124883430042,17
410690,CURITIBA,41,21031176.4,20584978.81,22498926.59,22968124.94,23166803.2,24622802.08,23454482.35,26358969.05,30213580.03,214899843.45,22050001.987999998,24038642.215,28286274.54,28.282412651907652,0.7582375904854135,18
354340,RIBEIRAO PRETO,35,16826365.85,17671586.26,19513722.85,20944095.09,21174460.07,21293329.36,21181267.73,23183063.19,25399179.78,187187070.18,19226046.024,21237298.545,24291121.485,26.344862873402207,0.6604577778407273,19
280030,ARACAJU,28,18338853.48,18710838.32,18433539.56,18878144.77,19232589.48,19801864.96,20306294.19,21473105.13,24331399.93,179506629.82,18718793.122,20054079.575000003,22902252.53,22.348980410939113,0.6333586487816208,20
250400,CAMPINA GRANDE,25,16492547.33,16487474.23,17763925.03,18709324.2,19751726.33,21016291.74,21281120.39,23808331.6,22976268.67,178287009.51999998,17840999.424000002,21148706.064999998,23392300.135,31.115413318899044,0.6290554257418411,21
250750,JOAO PESSOA,25,12139709.84,13338228.39,16156501.43,18053261.74,21001055.52,21769708.61,21600291.31,24986593.78,28855318.94,177900669.56,16137751.383999998,21684999.96,26920956.36,66.81974904317316,0.6276922908243103,22
510340,CUIABA,51,15871684.66,15945037.73,17433412.22,18145994.31,19246662.97,19068946.41,19360794.29,22826939.39,24525150.03,172424622.01000002,17328558.378,19214870.35,23676044.71,36.630204276304056,0.608370987313628,23
351880,GUARULHOS,35,16240606.71,16822541.8,17597068.81,17665266.68,18297932.21,19279887.49,19212483.47,21531317.72,23094675.7,169741780.58999997,17324683.242000002,19246185.479999997,22312996.71,28.793100562478948,0.5989050371235406,24
311860,CONTAGEM,31,16720576.18,17026301.21,18248874.74,15865046.11,16934907.89,18108819.58,17801156.37,19100884.08,21151433.48,160957999.64,16959141.226,17954987.975,20126158.78,18.67439814195697,0.5679129582278234,25
291080,FEIRA DE SANTANA,29,16866143.85,16644439.08,18903705.78,18596558.46,18255174.85,17412979.11,15938072.77,17658315.15,18355405.57,158630794.62,17853204.404000003,16675525.94,18006860.36,0.8606631757690053,0.5597018106597197,26
260400,CARPINA,26,11693702.2,12342112.76,14329118.16,14663524.45,14787667.96,17182730.6,17723875.96,20940059.68,22945200.66,146607992.43,13563225.106,17453303.28,21942630.17,61.78032878251929,0.5172813955627241,27
