data,previsao_valor_aprovado,modelo_usado
2026-05-01,397966678.74666667,media_movel_12m
2026-06-01,397395506.0755556,media_movel_12m
2026-07-01,399083155.1535185,media_movel_12m
2026-08-01,398499220.54047847,media_movel_12m
2026-09-01,398854752.6013517,media_movel_12m
2026-10-01,399116111.8322976,media_movel_12m
2026-11-01,398071575.58915573,media_movel_12m
2026-12-01,399395506.60575205,media_movel_12m
2027-01-01,397846798.40123135,media_movel_12m
2027-02-01,397050960.1455007,media_movel_12m
2027-03-01,399344544.9034591,media_movel_12m
2027-04-01,398282445.92791396,media_movel_12m
