cod_municipio,municipio,uf_ibge,2015,2016,2017,2018,2019,2020,2021,2022,2023
110002,ARIQUEMES,11,419.0,13829.0,19034.0,24391.0,26500.0,26247.0,25874.0,28278.0,26069.0
110004,CACOAL,11,15884.0,18741.0,21310.0,21197.0,20505.0,20469.0,19989.0,21199.0,23266.0
110012,JI-PARANA,11,19430.0,23297.0,26732.0,28800.0,29222.0,30116.0,24488.0,25184.0,24439.0
110020,PORTO VELHO,11,37350.0,41820.0,47390.0,52599.0,54473.0,54838.0,51968.0,53205.0,54057.0
110030,VILHENA,11,12476.0,13982.0,16601.0,17327.0,18069.0,17992.0,17663.0,17790.0,4429.0
120010,BRASILEIA,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
120020,CRUZEIRO DO SUL,12,0.0,337.0,4325.0,4324.0,5137.0,5520.0,6378.0,7932.0,9756.0
120040,RIO BRANCO,12,34953.0,38077.0,42147.0,43493.0,46647.0,51829.0,49088.0,46194.0,46950.0
130260,MANAUS,13,108710.0,103437.0,102427.0,101989.0,116850.0,158129.0,150818.0,168584.0,169950.0
140010,BOA VISTA,14,28705.0,32016.0,36321.0,35220.0,36473.0,37171.0,35720.0,37739.0,42783.0
150010,ABAETETUBA,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150060,ALTAMIRA,15,10875.0,12954.0,14245.0,16279.0,16495.0,17205.0,15658.0,15972.0,16238.0
150080,ANANINDEUA,15,19012.0,14654.0,31180.0,42723.0,48156.0,61242.0,62062.0,62814.0,56884.0
150140,BELEM,15,93536.0,96978.0,124994.0,130358.0,134398.0,129108.0,141540.0,154770.0,162369.0
150170,BRAGANCA,15,8137.0,8124.0,7995.0,7935.0,8040.0,8135.0,7962.0,8113.0,8185.0
150180,BREVES,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2514.0,4498.0
150220,CAPANEMA,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150240,CASTANHAL,15,26818.0,27115.0,27287.0,32114.0,38577.0,41512.0,44710.0,50626.0,56718.0
