cod_municipio,municipio,uf_ibge,ano,valor_aprovado
355030,SAO PAULO,35,2015,180867255.49
330455,RIO DE JANEIRO,33,2015,86303419.91
310620,BELO HORIZONTE,31,2015,63552224.63
261160,RECIFE,26,2015,54130198.56
230440,FORTALEZA,23,2015,45155136.62
292740,SALVADOR,29,2015,45330936.59
520870,GOIANIA,52,2015,41275873.16
530010,BRASILIA,53,2015,25649535.16
211130,SAO LUIS,21,2015,21472726.71
240810,NATAL,24,2015,24872177.78
431490,PORTO ALEGRE,43,2015,28405897.6
270430,MACEIO,27,2015,24152057.58
221100,TERESINA,22,2015,22018676.09
150140,BELEM,15,2015,16859967.48
130260,MANAUS,13,2015,19926790.52
500270,CAMPO GRANDE,50,2015,20995008.69
350950,CAMPINAS,35,2015,19766798.82
410690,CURITIBA,41,2015,21031176.4
354340,RIBEIRAO PRETO,35,2015,16826365.85
280030,ARACAJU,28,2015,18338853.48
250400,CAMPINA GRANDE,25,2015,16492547.33
250750,JOAO PESSOA,25,2015,12139709.84
510340,CUIABA,51,2015,15871684.66
351880,GUARULHOS,35,2015,16240606.71
311860,CONTAGEM,31,2015,16720576.18
291080,FEIRA DE SANTANA,29,2015,16866143.85
260400,CARPINA,26,2015,11693702.2
330490,SAO GONCALO,33,2015,14562389.45
317020,UBERLANDIA,31,2015,12492164.46
330170,DUQUE DE CAXIAS,33,2015,15758330.74
354980,SAO JOSE DO RIO PRETO,35,2015,12502792.58
411370,LONDRINA,41,2015,11510677.85
293330,VITORIA DA CONQUISTA,29,2015,12339973.88
330045,BELFORD ROXO,33,2015,12716421.99
313670,JUIZ DE FORA,31,2015,11101312.17
210530,IMPERATRIZ,21,2015,10838501.84
312770,GOVERNADOR VALADARES,31,2015,10233003.0
270030,ARAPIRACA,27,2015,10017806.58
355220,SOROCABA,35,2015,10798919.49
355410,TAUBATE,35,2015,9944327.39
520140,APARECIDA DE GOIANIA,52,2015,8274955.32
260410,CARUARU,26,2015,9079315.42
220800,PICOS,22,2015,7544927.59
355240,SUMARE,35,2015,8008298.63
355280,TABOAO DA SERRA,35,2015,9129196.14
411520,MARINGA,41,2015,9430768.89
310670,BETIM,31,2015,5514128.23
230370,CAUCAIA,23,2015,7241386.19
291840,JUAZEIRO,29,2015,6629538.95
320150,COLATINA,32,2015,9920424.84
352390,ITU,35,2015,5485190.24
210300,CAXIAS,21,2015,9857035.55
420910,JOINVILLE,42,2015,8748507.81
231290,SOBRAL,23,2015,7663290.29
350600,BAURU,35,2015,8807892.36
351620,FRANCA,35,2015,7742282.95
314330,MONTES CLAROS,31,2015,8466682.64
260120,ARCOVERDE,26,2015,8689600.7
240800,MOSSORO,24,2015,8087930.52
354870,SAO BERNARDO DO CAMPO,35,2015,8355968.44
110020,PORTO VELHO,11,2015,6867118.95
354990,SAO JOSE DOS CAMPOS,35,2015,7742387.65
351380,DIADEMA,35,2015,7776207.28
260790,JABOATAO DOS GUARARAPES,26,2015,8149112.96
261640,VITORIA DE SANTO ANTAO,26,2015,8207227.17
330100,CAMPOS DOS GOYTACAZES,33,2015,9971645.1
353440,OSASCO,35,2015,9322569.43
316860,TEOFILO OTONI,31,2015,7040309.38
330510,SAO JOAO DE MERITI,33,2015,9111772.96
330350,NOVA IGUACU,33,2015,9398080.22
220390,FLORIANO,22,2015,6880534.7
313130,IPATINGA,31,2015,8218462.84
150080,ANANINDEUA,15,2015,3424953.58
330330,NITEROI,33,2015,9263733.21
260290,CABO DE SANTO AGOSTINHO,26,2015,7036891.26
260600,GARANHUNS,26,2015,6971160.68
350760,BRAGANCA PAULISTA,35,2015,9449903.51
320130,CARIACICA,32,2015,8009661.5
210120,BACABAL,21,2015,6118617.1
120040,RIO BRANCO,12,2015,6253849.83
330414,QUEIMADOS,33,2015,6910654.73
410830,FOZ DO IGUACU,41,2015,6045764.13
431440,PELOTAS,43,2015,7930042.59
354140,PRESIDENTE PRUDENTE,35,2015,7862776.22
310160,ALFENAS,31,2015,7168112.68
292400,PAULO AFONSO,29,2015,5809471.16
314790,PASSOS,31,2015,7170876.59
520110,ANAPOLIS,52,2015,7241355.85
230420,CRATO,23,2015,6799877.6
160030,MACAPA,16,2015,5560671.8
510760,RONDONOPOLIS,51,2015,7542520.4
291800,JEQUIE,29,2015,6747619.27
320500,SERRA,32,2015,8053090.01
354780,SANTO ANDRE,35,2015,6817894.57
150680,SANTAREM,15,2015,6266796.05
354850,SANTOS,35,2015,7004381.67
350280,ARACATUBA,35,2015,4625491.38
410640,CORNELIO PROCOPIO,41,2015,7166360.06
230350,CASCAVEL,23,2015,5679112.78
150240,CASTANHAL,15,2015,4852983.02
220220,CAMPO MAIOR,22,2015,5963792.9
354910,SAO JOAO DA BOA VISTA,35,2015,6380336.78
431690,SANTA MARIA,43,2015,5885459.14
355250,SUZANO,35,2015,5585186.68
291480,ITABUNA,29,2015,6501212.24
353060,MOGI DAS CRUZES,35,2015,5509381.2
230765,MARACANAU,23,2015,5808570.75
353870,PIRACICABA,35,2015,6703502.49
140010,BOA VISTA,14,2015,5112544.97
261000,PALMARES,26,2015,5536487.88
521880,RIO VERDE,52,2015,5911692.8
352590,JUNDIAI,35,2015,6871958.91
150420,MARABA,15,2015,5441809.88
230190,BARBALHA,23,2015,5409155.91
350320,ARARAQUARA,35,2015,5803879.05
431410,PASSO FUNDO,43,2015,5177313.61
354880,SAO CAETANO DO SUL,35,2015,5836372.13
290570,CAMACARI,29,2015,5728325.51
291170,GUANAMBI,29,2015,5142246.39
291072,EUNAPOLIS,29,2015,5790452.89
292870,SANTO ANTONIO DE JESUS,29,2015,5633170.54
291360,ILHEUS,29,2015,4729084.65
510790,SINOP,51,2015,4229568.4
355710,VOTUPORANGA,35,2015,4538116.21
330190,ITABORAI,33,2015,6793941.96
317010,UBERABA,31,2015,4881810.95
350750,BOTUCATU,35,2015,5653354.3
313940,MANHUACU,31,2015,5552803.8
320530,VITORIA,32,2015,7169388.35
320120,CACHOEIRO DE ITAPEMIRIM,32,2015,6317844.3
510250,CACERES,51,2015,5146002.28
293050,SERRINHA,29,2015,5099216.77
351550,FERNANDOPOLIS,35,2015,4941896.22
313510,JANAUBA,31,2015,4345998.41
172100,PALMAS,17,2015,4980870.27
312230,DIVINOPOLIS,31,2015,5699554.05
240200,CAICO,24,2015,4436022.03
230428,EUSEBIO,23,2015,3672046.62
293290,VALENCA,29,2015,3625752.23
320490,SAO MATEUS,32,2015,5338965.4
500370,DOURADOS,50,2015,4431058.39
420540,FLORIANOPOLIS,42,2015,4222847.82
293010,SENHOR DO BONFIM,29,2015,5367804.81
522185,VALPARAISO DE GOIAS,52,2015,4630210.62
220770,PARNAIBA,22,2015,3972940.16
411840,PARANAVAI,41,2015,5361311.59
310860,BRASILIA DE MINAS,31,2015,4147461.98
320520,VILA VELHA,32,2015,3746105.47
352900,MARILIA,35,2015,4818642.36
314800,PATOS DE MINAS,31,2015,5381172.6
290070,ALAGOINHAS,29,2015,3965651.96
351640,FRANCO DA ROCHA,35,2015,4899130.5
316720,SETE LAGOAS,31,2015,5207618.46
420460,CRICIUMA,42,2015,4696877.59
311340,CARATINGA,31,2015,4763533.58
315250,POUSO ALEGRE,31,2015,4713132.12
355170,SERTAOZINHO,35,2015,4535378.84
312090,CURVELO,31,2015,3673011.84
313170,ITABIRA,31,2015,4053636.3
420820,ITAJAI,42,2015,3312196.34
410480,CASCAVEL,41,2015,4614388.95
230730,JUAZEIRO DO NORTE,23,2015,4125778.43
352230,ITAPETININGA,35,2015,5079613.05
430510,CAXIAS DO SUL,43,2015,4777898.99
330070,CABO FRIO,33,2015,4633745.19
313620,JOAO MONLEVADE,31,2015,4376811.26
510840,VARZEA GRANDE,51,2015,2992603.39
317070,VARGINHA,31,2015,4375912.32
352220,ITAPECERICA DA SERRA,35,2015,3567395.45
320320,LINHARES,32,2015,4798738.1
312610,FORMIGA,31,2015,4328550.11
150812,ULIANOPOLIS,15,2015,3435821.9
354730,SANTANA DE PARNAIBA,35,2015,4004693.57
330250,MAGE,33,2015,5039448.95
353080,MOGI MIRIM,35,2015,4274846.9
316250,SAO JOAO DEL REI,31,2015,4788256.0
352240,ITAPEVA,35,2015,4208421.95
353620,PARIQUERA-ACU,35,2015,3697080.88
290460,BRUMADO,29,2015,3395225.38
410940,GUARAPUAVA,41,2015,4640336.47
313820,LAVRAS,31,2015,3792752.29
421870,TUBARAO,42,2015,3324787.47
412410,SANTO ANTONIO DA PLATINA,41,2015,3666795.49
230640,ITAPIPOCA,23,2015,2933460.35
350550,BARRETOS,35,2015,3813485.18
292660,RIBEIRA DO POMBAL,29,2015,3345129.37
110012,JI-PARANA,11,2015,3505359.31
313240,ITAJUBA,31,2015,4025403.33
316370,SAO LOURENCO,31,2015,4193413.09
411990,PONTA GROSSA,41,2015,4430744.91
231180,RUSSAS,23,2015,3507363.37
350570,BARUERI,35,2015,2499127.97
420420,CHAPECO,42,2015,4619659.24
410430,CAMPO MOURAO,41,2015,3497645.26
420200,BALNEARIO CAMBORIU,42,2015,2756519.91
313330,ITAOBIM,31,2015,3431988.01
313420,ITUIUTABA,31,2015,3787076.38
291750,JACOBINA,29,2015,3018797.74
310560,BARBACENA,31,2015,4275154.14
350610,BEBEDOURO,35,2015,3405577.05
330220,ITAPERUNA,33,2015,4416830.42
410400,CAMPINA GRANDE DO SUL,41,2015,3632076.9
412810,UMUARAMA,41,2015,3590695.55
354890,SAO CARLOS,35,2015,3710782.17
150613,REDENCAO,15,2015,3497845.08
230280,CANINDE,23,2015,5402398.82
315210,PONTE NOVA,31,2015,4245809.72
261110,PETROLINA,26,2015,4958159.29
230550,IGUATU,23,2015,3839348.77
330010,ANGRA DOS REIS,33,2015,3725784.86
353800,PINDAMONHANGABA,35,2015,4058238.82
520025,AGUAS LINDAS DE GOIAS,52,2015,3231269.15
431350,OSORIO,43,2015,4287405.96
431750,SANTO ANGELO,43,2015,4388078.3
431560,RIO GRANDE,43,2015,4331997.5
330020,ARARUAMA,33,2015,3605943.87
510795,TANGARA DA SERRA,51,2015,3677271.03
316990,UBA,31,2015,4409866.14
330340,NOVA FRIBURGO,33,2015,4013926.33
311120,CAMPO BELO,31,2015,3430483.35
230410,CRATEUS,23,2015,0.0
291460,IRECE,29,2015,23400.0
330227,JAPERI,33,2015,3686683.65
352530,JAU,35,2015,3278466.22
311830,CONSELHEIRO LAFAIETE,31,2015,4300021.4
412550,SAO JOSE DOS PINHAIS,41,2015,2841691.17
310400,ARAXA,31,2015,3467988.89
260960,OLINDA,26,2015,4856551.84
330430,RIO BONITO,33,2015,3753142.57
291920,LAURO DE FREITAS,29,2015,3274821.43
521800,PORANGATU,52,2015,3795148.9
521190,JATAI,52,2015,3284110.41
420930,LAGES,42,2015,2856958.82
251080,PATOS,25,2015,2168390.31
421480,RIO DO SUL,42,2015,3195585.71
420240,BLUMENAU,42,2015,3360338.28
330630,VOLTA REDONDA,33,2015,1336979.8
110002,ARIQUEMES,11,2015,84402.44
520860,GOIANESIA,52,2015,4061392.02
351050,CARAGUATATUBA,35,2015,0.0
313840,LEOPOLDINA,31,2015,2462536.78
314000,MARIANA,31,2015,2641383.61
430920,GRAVATAI,43,2015,3677685.28
290320,BARREIRAS,29,2015,2560823.24
270630,PALMEIRA DOS INDIOS,27,2015,3818683.76
430310,CACHOEIRINHA,43,2015,3844746.2
351870,GUARUJA,35,2015,3771464.45
170210,ARAGUAINA,17,2015,3629858.85
410140,APUCARANA,41,2015,3042730.17
314810,PATROCINIO,31,2015,3177971.43
317130,VICOSA,31,2015,2849150.54
520540,CERES,52,2015,3656538.79
