cod_municipio,municipio,uf_ibge,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
110002,ARIQUEMES,11,84402.44,2728316.88,3960780.11,5040037.08,5165306.87,5032372.74,5041078.4,6177838.41,5954406.05,6291266.28,6859223.38,2334260.87
110004,CACOAL,11,2847044.49,3369161.75,4165311.33,4109588.71,3987743.37,3985688.66,3898381.14,4629733.34,5323857.6,5844957.99,5853214.89,2027886.39
110012,JI-PARANA,11,3505359.31,4216001.04,5211057.67,5590753.15,5746006.1,5810849.56,4768348.26,5458828.72,5680425.26,6024259.3,6541845.93,2319909.32
110020,PORTO VELHO,11,6867118.95,7801568.22,9464729.33,10535412.43,10914288.97,10800208.98,10294940.15,11709927.27,12670178.83,14178066.78,14634927.62,4814205.9
110030,VILHENA,11,2230259.46,2506473.56,3243704.58,3368016.56,3527363.51,3475139.47,3421618.79,3868975.12,992047.79,1330865.73,746216.07,0.0
120010,BRASILEIA,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463.24,2132121.26,2720649.27,1066366.0
120020,CRUZEIRO DO SUL,12,0.0,67496.01,958473.42,936247.27,998204.34,1056234.93,1217713.95,1710386.1,2181763.57,2545533.99,2513379.31,876933.55
120040,RIO BRANCO,12,6253849.83,7020355.3,8332802.66,8640072.25,9186895.33,10217402.09,9748137.89,10248470.79,10998540.98,13894967.29,15875709.17,5752645.24
130260,MANAUS,13,19926790.52,19170810.85,20374336.45,20271810.92,23052023.67,31090085.07,29860678.34,36970768.76,39308585.08,42109777.67,41494503.87,13550878.51
140010,BOA VISTA,14,5112544.97,5678171.93,6992733.16,6811713.24,7157442.68,7312114.58,7109171.29,8450868.21,10031371.66,11108003.61,11437050.82,3756014.42
150010,ABAETETUBA,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1580761.15,4010612.81,1427735.62
150060,ALTAMIRA,15,1963828.04,2341039.37,2772921.32,3174705.55,3203258.95,3322762.41,3049393.98,3481659.15,3694937.46,4149873.12,4038090.01,1384856.16
150080,ANANINDEUA,15,3424953.58,2671574.3,6517459.13,8979758.48,9477061.12,11907226.64,12191681.06,13822946.24,13144154.28,13835029.36,14594349.28,5394157.78
150140,BELEM,15,16859967.48,17846762.69,25329557.48,26355599.59,27101675.11,26167882.41,28689290.12,34788255.25,38110021.99,42564587.08,43068373.92,14273515.37
150170,BRAGANCA,15,1461733.27,1458617.64,1556253.17,1545828.11,1561614.43,1571580.04,1548744.71,1770639.64,1866350.92,2910051.79,3261688.18,1080859.98
150180,BREVES,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,552751.18,1030066.51,1233766.4,1357443.72,600592.29
150220,CAPANEMA,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435532.41,3168742.04,1366012.6
150240,CASTANHAL,15,4852983.02,4951093.9,5363128.52,6323762.7,7609309.67,8063665.37,8656114.58,11056903.53,13011118.8,14014131.69,13767832.61,6244053.51
150360,ITAITUBA,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,647245.42,2761998.14,1016490.12
150420,MARABA,15,5441809.88,5664070.92,6260181.69,6569301.25,7060446.99,7118051.93,6813417.68,7746609.49,11160309.56,10826270.23,11278803.78,3927358.71
150442,MARITUBA,15,3162759.82,3373629.45,3702445.02,3626280.34,3631953.41,3750288.35,3549157.63,4223807.69,4412261.8,4909524.56,4826242.36,1631070.47
150553,PARAUAPEBAS,15,0.0,0.0,11000.0,3600.0,9600.0,3000.0,1699563.2,2103616.96,1989273.32,4415438.75,6705154.85,5077311.69
150613,REDENCAO,15,3497845.08,3770219.37,4189265.66,4496269.68,4925278.7,4976944.31,5191218.89,6166332.29,6662426.15,7125635.07,7247044.57,2495448.26
150680,SANTAREM,15,6266796.05,6820111.62,7661632.36,7768189.16,7757105.67,7807780.02,8663502.68,9717615.59,10159154.41,11051511.27,12246786.18,4372535.71
150810,TUCURUI,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025593.82,645114.23
150812,ULIANOPOLIS,15,3435821.9,3732699.64,4576769.41,5280480.62,5713260.05,5594688.25,5556201.9,6731839.55,7655133.67,8398832.05,9096021.44,3183423.05
160030,MACAPA,16,5560671.8,5874762.92,7634081.04,8203264.68,8499067.15,8222947.03,8492738.28,10536125.06,12284229.66,14008239.85,14232831.17,4232101.15
170210,ARAGUAINA,17,3629858.85,3494422.2,3722148.75,3908224.58,4112098.36,4319419.65,4294032.32,4943720.4,5499766.83,6947720.53,10150291.08,3337393.76
170950,GURUPI,17,2860173.27,2939837.24,3212202.99,3310522.27,3445540.67,3556036.36,3538707.53,3879821.24,3972310.96,4252606.89,4193089.82,1383432.6
172100,PALMAS,17,4980870.27,5232902.29,5582230.01,5895628.12,6345075.86,6637229.37,6634910.89,7517010.82,8146940.16,9848172.17,10709298.69,3691164.76
210005,ACAILANDIA,21,0.0,0.0,0.0,2267978.54,3180929.9,3449876.73,3628632.24,4396417.44,4835803.63,5545969.22,5698131.23,1715662.29
210120,BACABAL,21,6118617.1,7123433.45,8105712.98,8162669.05,8556659.95,8772123.63,9423017.72,11192380.25,13207606.66,14658514.19,12588226.47,3342288.15
210140,BALSAS,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1768747.07,3033298.54,1003575.4
210160,BARRA DO CORDA,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3477.0,4392.0,5002.0,3843.0
210300,CAXIAS,21,9857035.55,9974983.75,9706125.95,10555051.45,10907912.98,10871584.29,10533027.22,10863037.85,11243948.74,11381943.99,11356123.82,4129045.21
210320,CHAPADINHA,21,0.0,0.0,0.0,0.0,0.0,23886.6,1559408.31,1882407.8,3970211.51,4758378.41,5219030.68,2162199.75
210330,CODO,21,0.0,0.0,1717574.34,2529676.31,3434630.64,3723193.65,3705383.87,4666173.56,5497471.61,5941544.88,6797108.37,2304155.36
210360,COROATA,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1891.0,3965.0,1647.0
210530,IMPERATRIZ,21,10838501.84,11051146.13,11814573.7,11955573.43,13230256.74,14345158.97,14092665.78,16065081.58,18009367.53,19000024.41,17606607.62,6198181.57
