 Produção Ambulatorial do SUS - Ceará - por local de atendimento
Valor aprovado por Ano/mês atendimento
Período:2015-2023
"Ano/mês atendimento";"Valor_aprovado"
"2014";2351269,82
"..Outubro/2014";121843,97
"..Novembro/2014";142808,79
"..Dezembro/2014";2086617,06
"2015";572424536,60
"..Janeiro/2015";46164833,03
"..Fevereiro/2015";43881908,25
"..Março/2015";48825795,92
"..Abril/2015";48263471,56
"..Maio/2015";48715121,30
"..Junho/2015";48150296,03
"..Julho/2015";48753518,90
"..Agosto/2015";48621751,75
"..Setembro/2015";48205413,16
"..Outubro/2015";48681298,81
"..Novembro/2015";46950559,17
"..Dezembro/2015";47210568,72
"2016";601423772,08
"..Janeiro/2016";46551472,69
"..Fevereiro/2016";46927874,22
"..Março/2016";50126711,22
"..Abril/2016";49957082,33
"..Maio/2016";52162875,83
"..Junho/2016";52908944,85
"..Julho/2016";51966834,93
"..Agosto/2016";52999715,61
"..Setembro/2016";51307998,21
"..Outubro/2016";49648470,95
"..Novembro/2016";49435713,45
"..Dezembro/2016";47430077,79
"2017";636241291,66
"..Janeiro/2017";51411659,43
"..Fevereiro/2017";49112685,95
"..Março/2017";53329749,66
"..Abril/2017";50020046,59
"..Maio/2017";53805941,22
"..Junho/2017";51498690,04
"..Julho/2017";52794710,05
"..Agosto/2017";55957084,53
"..Setembro/2017";53347680,59
"..Outubro/2017";57249619,62
"..Novembro/2017";54434437,88
"..Dezembro/2017";53278986,10
"2018";669801552,00
"..Janeiro/2018";54386971,48
"..Fevereiro/2018";49995532,51
"..Março/2018";55726236,56
"..Abril/2018";56350028,72
"..Maio/2018";56611938,91
"..Junho/2018";56257928,63
"..Julho/2018";56675477,22
"..Agosto/2018";58741383,18
"..Setembro/2018";55089389,12
"..Outubro/2018";58650404,21
"..Novembro/2018";57209959,60
"..Dezembro/2018";54106301,86
"2019";703481317,31
"..Janeiro/2019";55459709,35
"..Fevereiro/2019";53875871,00
"..Março/2019";52752213,27
"..Abril/2019";64287636,58
"..Maio/2019";61228137,97
"..Junho/2019";56162640,02
"..Julho/2019";59463110,91
"..Agosto/2019";62702146,60
"..Setembro/2019";59656931,51
"..Outubro/2019";61731769,84
"..Novembro/2019";59913991,83
"..Dezembro/2019";56247158,43
"2020";617424871,72
"..Janeiro/2020";59365369,39
"..Fevereiro/2020";57651335,77
"..Março/2020";53025778,90
"..Abril/2020";39459776,31
"..Maio/2020";37391722,05
"..Junho/2020";41675302,10
"..Julho/2020";48367959,82
"..Agosto/2020";52584263,49
"..Setembro/2020";55649697,47
"..Outubro/2020";58738361,30
"..Novembro/2020";58056884,19
"..Dezembro/2020";55458420,93
"2021";695769104,23
"  Janeiro/2021";55501977,19
"  Fevereiro/2021";54171665,19
"  Março/2021";51807474,62
"  Abril/2021";51264965,61
"  Maio/2021";55056369,76
"  Junho/2021";56401264,87
"  Julho/2021";60662656,23
"  Agosto/2021";61204148,24
"  Setembro/2021";61626817,97
"  Outubro/2021";61586357,04
"  Novembro/2021";63178286,19
"  Dezembro/2021";63307121,32
"2022";842765455,93
"..Janeiro/2022";61704169,72
"..Fevereiro/2022";63051872,53
"..Março/2022";69161849,77
"..Abril/2022";66762869,49
"..Maio/2022";71627738,10
"..Junho/2022";70477828,93
"..Julho/2022";69803566,03
"..Agosto/2022";75761395,78
"..Setembro/2022";73761824,67
"..Outubro/2022";73728093,56
"..Novembro/2022";75428415,99
"..Dezembro/2022";71495831,36
"2023";939295531,47
"Janeiro/2023";74644128,17
"Fevereiro/2023";69372379,24
"Março/2023";78999401,42
"Abril/2023";72928809,76
"Maio/2023";78679937,75
"Junho/2023";76992658,59
"Julho/2023";78886363,77
"Agosto/2023";81038966,26
"Setembro/2023";80034380,22
"Outubro/2023";84517571,40
"Novembro/2023";83339123,06
"Dezembro/2023";79861811,83
"Total";6280978702,82
 Fonte: Ministério da Saúde - Sistema de Informações Ambulatoriais do SUS (SIA/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
