 Produção Ambulatorial do SUS - Ceará - por local de atendimento
Qtd.aprovada por Município e Ano processamento
Período:2015-2023
"Município";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"Total"
"230010 ABAIARA";149266;152921;106266;14659;37631;37383;43891;49861;53277;645155
"230015 ACARAPE";242728;249150;464276;155623;84783;53131;49620;69204;76079;1444594
"230020 ACARAU";780288;1399036;1304505;843912;242712;188585;286459;443886;526968;6016351
"230030 ACOPIARA";287419;261456;253037;130776;160517;96029;95958;146301;183443;1614936
"230040 AIUABA";1617591;746634;112927;143321;143849;136418;137719;153864;129040;3321363
"230050 ALCANTARAS";70979;48209;68628;82846;140668;21343;12646;43751;60289;549359
"230060 ALTANEIRA";60150;101375;90070;102473;70832;27231;23806;53521;86915;616373
"230070 ALTO SANTO";283512;239809;100777;106326;118168;83273;159341;232184;153991;1477381
"230075 AMONTADA";380138;515288;300928;186978;103346;244255;24741;14732;23308;1793714
"230080 ANTONINA DO NORTE";16138;118679;35400;45092;52225;24648;33991;59763;80838;466774
"230090 APUIARES";102767;587650;127211;72679;53109;17339;152868;97402;113127;1324152
"230100 AQUIRAZ";856474;930300;725714;714387;325233;239354;333071;390655;459365;4974553
"230110 ARACATI";916880;787004;360047;432000;513064;323932;396109;485561;537840;4752437
"230120 ARACOIABA";244837;185797;325147;294331;320335;271866;287842;340761;414783;2685699
"230125 ARARENDA";455625;47826;37847;25927;40127;44961;64938;49383;43880;810514
"230130 ARARIPE";300573;332882;295066;272409;193527;100440;92625;115899;136659;1840080
"230140 ARATUBA";149827;645925;183266;224889;228749;60480;70186;70439;81046;1714807
"230150 ARNEIROZ";66398;78749;49486;39477;14484;9718;77313;70226;30014;435865
"230160 ASSARE";236134;177441;198870;109520;117372;60459;88783;106106;109125;1203810
"230170 AURORA";332612;322959;195862;64184;96067;69243;76144;86552;94284;1337907
"230180 BAIXIO";21175;35718;31922;6846;8929;10754;8162;4844;11749;140099
"230185 BANABUIU";298456;137279;111645;107678;125150;86028;100523;200091;213643;1380493
"230190 BARBALHA";1279530;916664;1153917;1026606;975736;678411;769816;1026109;1171148;8997937
"230195 BARREIRA";157870;140088;121871;56585;86209;65201;64649;77701;73470;843644
"230200 BARRO";270006;228520;131814;59504;99126;75771;54142;82452;138680;1140015
"230205 BARROQUINHA";111773;107499;94587;60474;82407;54231;6409;31715;362895;911990
"230210 BATURITE";503707;453805;560897;579854;568668;254465;337471;522103;695211;4476181
"230220 BEBERIBE";776100;473685;339337;138754;186141;100351;82680;139447;330594;2567089
"230230 BELA CRUZ";272777;329494;399137;516499;97171;72581;94990;141382;162137;2086168
"230240 BOA VIAGEM";274612;225515;395170;79941;84092;69060;253714;304500;500520;2187124
"230250 BREJO SANTO";764843;911143;662904;463611;424961;295611;360402;456055;555330;4894860
"230260 CAMOCIM";1065450;1030263;954560;694082;477718;416072;403046;516179;561269;6118639
"230270 CAMPOS SALES";297595;309543;350910;299550;308996;101516;118305;180465;176501;2143381
"230280 CANINDE";983456;887292;804512;1281793;784910;356021;377283;466236;468364;6409867
"230290 CAPISTRANO";233775;220054;224018;221221;99517;91908;93069;123921;89240;1396723
"230300 CARIDADE";375963;112415;133103;78331;91916;53623;53325;78747;84214;1061637
"230310 CARIRE";176022;201040;162909;58805;57231;44766;79539;89079;119577;988968
"230320 CARIRIACU";322710;233049;719595;151216;210741;130901;139170;485761;197542;2590685
"230330 CARIUS";187930;165271;188139;110677;109386;57323;76228;84363;102105;1081422
"230340 CARNAUBAL";342219;325037;324616;137834;152701;73927;68480;132448;145234;1702496
"230350 CASCAVEL";992693;991476;970953;1003830;979679;587997;688399;1017511;1121467;8354005
"230360 CATARINA";198745;166838;101262;67342;113059;254276;91236;123482;157890;1274130
"230365 CATUNDA";94015;67470;74148;39699;48031;34516;46701;65841;106265;576686
"230370 CAUCAIA";6875088;4098932;3123804;3813734;2554343;2462311;2611700;2570799;3516198;31626909
"230380 CEDRO";252762;210064;163169;70697;80474;50615;72589;121199;88457;1110026
"230390 CHAVAL";79740;84194;93332;27942;68022;52387;28013;39948;60773;534351
"230393 CHORO";582245;104908;104841;57999;63476;123407;113758;120817;124069;1395520
"230395 CHOROZINHO";269423;301192;264155;135687;130243;136302;132609;134620;145812;1650043
"230400 COREAU";170803;168117;163204;114718;142485;53775;37370;75592;93576;1019640
"230410 CRATEUS";623383;622008;488279;290380;317743;166430;152640;321015;389192;3371070
"230420 CRATO";1824543;1413105;1367595;1079683;1108121;965238;1113554;1293959;1554365;11720163
"230423 CROATA";247465;179186;219335;94897;148733;111595;121854;168495;170556;1462116
"230425 CRUZ";243967;175945;400466;656972;195030;146840;157983;251372;291225;2519800
"230426 DEPUTADO IRAPUAN PINHEIRO";125041;126891;589428;208392;438322;165678;39500;42244;64094;1799590
"230427 ERERE";390234;35786;34985;44723;45811;27551;13401;23231;27385;643107
"230428 EUSEBIO";766483;906521;1101483;957325;1251798;824407;1098989;1072891;1619100;9598997
"230430 FARIAS BRITO";265191;277491;199317;119720;135861;88167;140792;202960;243309;1672808
"230435 FORQUILHA";177171;187815;245525;323210;202507;180519;14391;82891;102300;1516329
"230440 FORTALEZA";52199556;58036020;65025069;72018243;64428158;60093374;65726569;70549349;83382510;591458848
"230445 FORTIM";187288;227277;224171;71848;74074;70896;81796;96219;102036;1135605
"230450 FRECHEIRINHA";205857;237691;250453;275060;176707;102944;114696;145374;149240;1658022
"230460 GENERAL SAMPAIO";179216;105032;91655;99767;99165;65279;24522;41274;59934;765844
"230465 GRACA";920286;158531;62137;25780;12788;700;6531;15325;24144;1226222
"230470 GRANJA";574419;639867;687608;455172;134441;136161;142733;190672;267816;3228889
"230480 GRANJEIRO";74375;65190;42638;66088;61968;23518;44999;63790;66478;509044
"230490 GROAIRAS";127942;134774;97455;40739;49984;48671;45342;84492;90163;719562
"230495 GUAIUBA";244621;187487;106421;105191;146200;18762;16658;44938;20048;890326
"230500 GUARACIABA DO NORTE";331500;317373;239654;120108;144065;81230;98066;160065;332046;1824107
"230510 GUARAMIRANGA";92808;81587;93577;50855;291047;32904;26178;38926;44812;752694
"230520 HIDROLANDIA";133429;40518;25321;36749;98165;82461;84011;132751;173450;806855
"230523 HORIZONTE";805596;625140;339018;365766;897142;271929;479310;592157;985990;5362048
"230526 IBARETAMA";115827;104372;119804;165678;162454;119949;136568;134146;148776;1207574
"230530 IBIAPINA";328192;239181;226359;139229;205144;126983;165136;212805;224082;1867111
"230533 IBICUITINGA";214620;174636;101544;123931;181113;153781;47112;63400;71102;1131239
"230535 ICAPUI";286974;212172;132549;50778;195119;154993;112872;166078;119565;1431100
"230540 ICO";727048;754575;1256446;1244412;265202;687802;282839;167770;430879;5816973
"230550 IGUATU";1442885;920577;871148;711176;752871;448573;494332;620951;626770;6889283
"230560 INDEPENDENCIA";308069;242266;299086;111138;132624;84865;117547;680645;374992;2351232
"230565 IPAPORANGA";126218;187742;137704;127243;168505;109961;175549;42296;44660;1119878
"230570 IPAUMIRIM";20822;29716;51372;512;19903;12143;17268;27198;31556;210490
"230580 IPU";532984;416607;331466;185782;207178;146356;162710;270058;355462;2608603
"230590 IPUEIRAS";133519;133541;191249;88559;84768;58232;140433;167157;160973;1158431
"230600 IRACEMA";206195;266467;200701;113202;117428;79877;100050;117660;121258;1322838
"230610 IRAUCUBA";223469;342013;381215;352436;390961;248923;229477;254854;226814;2650162
"230620 ITAICABA";973997;165408;96492;344349;36937;34077;64405;80704;38184;1834553
"230625 ITAITINGA";1711543;201296;169990;149025;165985;110064;210326;402489;683049;3803767
"230630 ITAPAJE";409453;408982;528366;237469;202836;128370;124969;150926;375506;2566877
"230640 ITAPIPOCA";1332200;989997;1489231;866895;645598;1460330;628321;1008446;1108581;9529599
"230650 ITAPIUNA";205552;245082;206138;109037;117390;66732;72188;147912;199987;1370018
"230655 ITAREMA";482898;633161;641795;197351;224327;162762;183768;295528;283830;3105420
"230660 ITATIRA";257066;252745;129248;12408;9611;6360;6958;7126;4863;686385
"230670 JAGUARETAMA";211355;175722;155857;140087;192889;189383;517320;422398;365972;2370983
"230680 JAGUARIBARA";137749;139054;154180;507212;198619;67354;73999;160508;184075;1622750
