 Produção Ambulatorial do SUS - Ceará - por local de atendimento
Valor aprovado por Procedimento e Ano processamento
Período:2015-2023
"Procedimento";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"Total"
"0101010028 ATIVIDADE EDUCATIVA / ORIENTACAO EM GRUPO NA ATENCAO ESPECIALIZADA";174555,00;121707,90;107044,20;113880,60;128250,00;87318,00;159030,00;243315,90;368296,20;1503397,80
"0101040032 COLETA EXTERNA DE LEITE MATERNO (POR DOADORA)";15729,00;21141,00;30075,00;28980,00;29421,00;26091,00;31383,00;31011,00;37170,00;251001,00
"0101040040 PASTEURIZACAO DO LEITE HUMANO (CADA 5 LITROS)";8283,94;19343,94;31366,16;29176,28;29342,18;31388,28;37526,58;35469,42;42614,18;264510,96
"0102010056 ATIVIDADES EDUCATIVAS PARA O SETOR REGULADO";1398,00;698,00;-;-;-;-;-;-;-;2096,00
"0102010072 CADASTRO DE ESTABELECIMENTOS SUJEITOS A VIGILANCIA SANITARIA";1369,50;676,00;-;-;-;-;-;-;-;2045,50
"0102010153 INVESTIGACAO DE EVENTOS ADVERSOS E/OU QUEIXAS TECNICAS";19,00;15,00;-;-;-;-;-;-;-;34,00
"0102010161 EXCLUSAO DE CADASTRO DE ESTABELECIMENTOS SUJEITOS A VIGILANCIA SANITARIA COM ATIVIDADES ENCERRADA";13,00;8,00;-;-;-;-;-;-;-;21,00
"0102010170 INSPECAO DOS ESTABELECIMENTOS SUJEITOS A VIGILANCIA SANITARIA";322,00;76,00;-;-;-;-;-;-;-;398,00
"0102010188 LICENCIAMENTO DOS ESTABELECIMENTOS SUJEITOS A VIGILANCIA SANITARIA";108,00;27,00;-;-;-;-;-;-;-;135,00
"0102010200 INVESTIGACAO DE SURTOS DE DOENCAS TRANSMITIDAS POR ALIMENTOS";11,00;6,00;-;-;-;-;-;-;-;17,00
"0102010226 ATIVIDADE EDUCATIVA PARA A POPULACAO";104,00;68,00;-;-;-;-;-;-;-;172,00
"0102010234 RECEBIMENTO DE DENUNCIAS/RECLAMACOES";107,00;23,00;-;-;-;-;-;-;-;130,00
"0102010242 ATENDIMENTO A DENUNCIAS/RECLAMACOES";73,00;15,00;-;-;-;-;-;-;-;88,00
"0102010331 CADASTRO DE SERVICOS DE DIAGNOSTICO E TRATAMENTO DO CANCER DE COLO DE UTERO E MAMA";24,00;10,00;-;-;-;-;-;-;-;34,00
"0102010340 INSPECAO SANITARIA DE SERVICOS DE DIAGNOSTICO E TRATAMENTO DO CANCER DE COLO DE UTERO E MAMA.";22,00;8,00;-;-;-;-;-;-;-;30,00
"0102010358 LICENCIAMENTO SANITARIO DE SERVICOS DE DIAGNOSTICO E TRATAMENTO DO CANCER DE COLO DE UTERO E MAM";48,00;50,00;-;-;-;-;-;-;-;98,00
"0102010455 CADASTRO DE SERVICOS DE ALIMENTACAO";244,00;98,00;-;-;-;-;-;-;-;342,00
"0102010463 INSPECAO SANITARIA DE SERVICOS DE ALIMENTACAO";400,00;52,00;-;-;-;-;-;-;-;452,00
"0102010471 LICENCIAMENTO SANITARIO DE SERVICOS DE ALIMENTACAO";122,00;16,00;-;-;-;-;-;-;-;138,00
"0102010480 FISCALIZACAO DO USO DE PRODUTOS FUMIGENOS DERIVADOS DO TABACO EM AMBIENTES COLETIVOS FECHADOS, PU";44,00;44,00;-;-;-;-;-;-;-;88,00
"0102010501 ATIVIDADES EDUCATIVAS SOBRE A TEMATICA DA DENGUE,REALIZADAS PARA A POPULACAO";228,00;62,00;-;-;-;-;-;-;-;290,00
"0102010510 ATIVIDADES EDUCATIVAS,COM RELACAO AO CONSUMO DE SODIO, ACUCAR E GORDURAS, REALIZADAS PARA O SETO";24,00;16,00;-;-;-;-;-;-;-;40,00
